CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL
61.384.004/0001-05;AVENUE SECURITIES DTVM LTDA.;AVENUE SECURITIES DTVM;1997-05-27;;;ATIVO;1997-05-27;;;;;;;;;;hsu.chun@avenue.us
40.434.681/0001-10;AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;AZUMI DTVM;2021-10-28;;;ATIVO;2021-10-28;;;;;;;;;;vitor.moscatelli@azumidtvm.com.br
03.532.415/0001-02;BANCO ABN AMRO S.A.;BANCO ABN AMRO S.A.;2000-05-25;2015-12-21;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2015-12-21;CORRESPONDÊNCIA. ADM. FUNDO;R FIDENCIO RAMOS;302/308 11 ANDAR CONJUNTO 111;VILA OLIMPIA;SÃO PAULO;SP;4551010;11;30737400;contasapagar.br@abnamroclearing.com
00.997.185/0001-50;BANCO B3 S.A.;BANCO B3 S.A.;1999-01-08;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;RUA JOÃO BRÍCOLA, 59;4° ANDAR;CENTRO;SÃO PAULO;SP;1014010;11;25657415;gustavo.carvalho@b3.com.br
60.898.723/0001-81;BANCO BCN S.A.;BANCO BCN S.A.;1999-10-18;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;AV. NAçõES UNIDAS, 12901;TORRE OESTE - 3º A;BROOKLIN NOVO;SÃO PAULO;SP;4578000;11;55092444;anapaula@bram.bradesco.com.br
01.522.368/0001-82;BANCO BNP PARIBAS BRASIL S/A;BANCO BNP PARIBAS BRASIL S/A;2015-12-09;;;ATIVO;2015-12-09;CORRESPONDÊNCIA. ADM. FUNDO;AV PRES JUSC KUBITSCHEK 1909;9º - 11º ANDS;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011;11;38413146;fixedincomebrazil@br.bnpparibas.com
15.114.366/0001-69;BANCO BOCOM BBM S.A.;BCO BOCOM BBM;1997-05-26;2012-09-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2012-09-13;CORRESPONDÊNCIA. ADM. FUNDO;AV BARÃO DE TEFÉ, 34;20º E 21º ANDAR;SAÚDE;RIO DE JANEIRO;RJ;20220460;21;25148477;compliancecorporativo@bocombbm.com.br
60.746.948/0001-12;BANCO BRADESCO S.A.;BANCO BRADESCO S.A.;2010-03-03;;;ATIVO;2010-03-03;;;;;;;;;;kelly.navarro@bradesco.com.br
62.232.889/0001-90;BANCO DAYCOVAL S.A.;BANCO DAYCOVAL S.A.;2020-03-17;;;ATIVO;2020-03-17;CORRESPONDÊNCIA. ADM. FUNDO;AV PAULISTA 1793;;BELA VISTA;SÃO PAULO;SP;1311200;11;31380461;ri@bancodaycoval.com.br
33.644.196/0001-06;BANCO FATOR S/A;FATOR - BANCO;2011-03-24;;;ATIVO;2011-03-24;CORRESPONDÊNCIA. ADM. FUNDO;R DR RENATO P BARROS, 1017;12º ANDAR;ITAIM BIBI;SÃO PAULO;SP;453001;11;30499100;lstefanini@fator.com.br
33.644.196/0001-06;BANCO FATOR S/A;FATOR - BANCO;1998-04-27;2009-07-15;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2009-07-15;CORRESPONDÊNCIA. ADM. FUNDO;R DR RENATO P BARROS, 1017;12º ANDAR;ITAIM BIBI;SÃO PAULO;SP;453001;11;30499100;lstefanini@fator.com.br
11.758.741/0001-52;BANCO FINAXIS S.A.;BANCO FINAXIS S.A.;2012-01-05;;;ATIVO;2012-01-05;CORRESPONDÊNCIA. ADM. FUNDO;RUA PASTEUR, 463;11º ANDAR;AGUA VERDE;CURITIBA;PR;80205104;41;30740909;servicosfinanceiros@finaxis.com.br
45.246.410/0001-55;BANCO GENIAL S.A.;PLURAL BANCO;2018-04-20;;;ATIVO;2018-04-20;CORRESPONDÊNCIA. ADM. FUNDO;PRAIA DE BOTAFOGO, 228;9º ANDAR  SL. 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;21;32933001;complianceadm@genial.com.vc
31.880.826/0001-16;BANCO GUANABARA SA;BANCO GUANABARA SA;1997-06-05;2005-07-01;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-07-01;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA BRASIL 8255/3 ANDAR;;RAMOS;RIO DE JANEIRO;RJ;21030000;21;25629600;contabilidade@bancoguanabara.com.br
03.017.677/0001-20;BANCO J. SAFRA S.A.;BANCO J. SAFRA;2011-02-23;;;ATIVO;2011-02-23;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA PAULISTA 2150;;BELA VISTA;SÃO PAULO;SP;1310300;11;31758627;atendimento.regulamentar@safra.com.br
